ID;Generacion;Resultado
0;0;343088.0
1;0;-1.0
2;0;38416.0
3;0;802584.0
4;0;154904.0
5;0;1588504.0
6;0;-1.0
7;0;27928.0
8;0;310336.0
9;0;605248.0
10;0;1586920.0
11;0;1195056.0
12;0;-1.0
13;0;48544.0
14;0;-1.0
15;0;-1.0
16;0;117808.0
17;0;-1.0
18;0;-1.0
19;0;-1.0
20;0;407056.0
21;0;89384.0
22;0;153096.0
23;0;1193480.0
24;0;87800.0
25;0;-1.0
26;0;-1.0
27;0;-1.0
28;0;31792.0
29;0;-1.0
30;0;-1.0
31;0;244800.0
32;0;154688.0
33;0;154688.0
34;0;153104.0
35;0;-1.0
36;0;154688.0
37;0;-1.0
38;0;-1.0
39;0;-1.0
40;0;-1.0
41;0;1586936.0
42;0;-1.0
43;0;802072.0
44;0;1195424.0
45;0;64576.0
46;0;-1.0
47;0;-1.0
48;0;27696.0
49;0;1588520.0
50;0;-1.0
51;0;112360.0
52;0;113960.0
53;0;27928.0
54;0;1063152.0
55;0;27928.0
56;0;1062408.0
57;0;-1.0
58;0;539928.0
59;0;-1.0
48;1;27696.0
7;1;27928.0
53;1;27928.0
55;1;27928.0
28;1;31792.0
2;1;38416.0
13;1;48544.0
45;1;64576.0
60;1;64576.0
61;1;-1.0
62;1;159016.0
63;1;277800.0
64;1;-1.0
65;1;1326128.0
66;1;31808.0
67;1;-1.0
68;1;-1.0
69;1;71184.0
70;1;-1.0
71;1;1064000.0
72;1;27696.0
73;1;40216.0
74;1;27696.0
75;1;27928.0
76;1;26360.0
77;1;27696.0
78;1;39984.0
79;1;38408.0
80;1;27944.0
81;1;93248.0
