Flag;Cantidad
-faggressive-loop-optimizations;55
-fbranch-probabilities;60
-fbranch-target-load-optimize;49
-fbranch-target-load-optimize2;47
-fcode-hoisting;44
-fcrossjumping;42
-fcse-follow-jumps;39
-fdata-sections;48
-fdelete-null-pointer-checks;37
-fdevirtualize;41
-fdevirtualize-speculatively;51
-fdse;45
-ffast-math;52
-fforward-propagate;38
-fgcse-after-reload;39
-fgcse-las;43
-fgcse-sm;50
-fgraphite-identity;49
-fhoist-adjacent-loads;41
-fif-conversion2;48
-findirect-inlining;40
-fipa-cp;35
-fipa-cp-clone;40
-fipa-profile;46
-fipa-pta;55
-fipa-pure-const;46
-fipa-stack-alignment;49
-fisolate-erroneous-paths-attribute;46
-fkeep-static-consts;50
-fkeep-static-functions;58
-flimit-function-alignment;58
-floop-block;50
-floop-interchange;46
-floop-parallelize-all;34
-floop-strip-mine;40
-flto;54
-fmodulo-sched;38
-fno-branch-count-reg;48
-fno-fp-int-builtin-inexact;37
-fno-function-cse;37
-fno-ira-share-save-slots;43
-fno-ira-share-spill-slots;46
-fno-math-errno;40
-fno-peephole;43
-fno-peephole2;50
-fno-printf-return-value;45
-fno-toplevel-reorder;51
-fno-trapping-math;40
-fno-zero-initialized-in-bss;49
-fprofile-correction;40
-fprofile-reorder-functions;44
-free;48
-freorder-blocks;53
-freorder-functions;45
-frerun-cse-after-loop;47
-freschedule-modulo-scheduled-loops;30
-frounding-math;57
-fsave-optimization-record;52
-fsched-group-heuristic;46
-fsched-last-insn-heuristic;37
-fsched-pressure;51
-fsched-rank-heuristic;42
-fsched2-use-superblocks;40
-fschedule-fusion;48
-fsel-sched-pipelining;39
-fselective-scheduling;45
-fselective-scheduling2;40
-fsignaling-nans;44
-fsingle-precision-constant;55
-fsplit-loops;38
-fsplit-wide-types;44
-fssa-phiopt;39
-ftree-bit-ccp;40
-ftree-ccp;54
-ftree-fre;46
-ftree-loop-linear;52
-ftree-loop-optimize;58
-ftree-phiprop;35
-ftree-pre;38
-ftree-pta;51
-ftree-reassoc;46
-ftree-scev-cprop;48
-ftree-slsr;51
-ftree-sra;39
-ftree-ter;39
-funconstrained-commons;38
-funroll-loops;60
-fvariable-expansion-in-unroller;42
-falign-functions=21743;1
-falign-labels=62979;1
-falign-loops=19342;1
-fsched-stalled-insns-dep=32559;1
-fsched-stalled-insns=51052;1
-ftree-parallelize-loops=3;7
-fira-algorithm=CB;16
-fira-region=all;16
-flto-partition=1to1;5
-fassociative-math;47
-fauto-inc-dec;45
-fbtr-bb-exclusive;47
-fcaller-saves;42
-fcombine-stack-adjustments;53
-fcompare-elim;45
-fconserve-stack;49
-fcprop-registers;38
-fcx-limited-range;36
-ffinite-math-only;49
-ffloat-store;42
-ffunction-sections;35
-fgcse;42
-fgcse-lm;52
-fif-conversion;41
-fipa-bit-cp;45
-fipa-icf;48
-fipa-ra;50
-fipa-sra;47
-fipa-vrp;42
-fira-loop-pressure;49
-fisolate-erroneous-paths-dereference;46
-fmove-loop-invariants;41
-fno-guess-branch-probability;52
-fno-sched-interblock;40
-fno-sched-spec;44
-fno-signed-zeros;53
-fpeel-loops;40
-fprefetch-loop-arrays;45
-fprofile-values;40
-freciprocal-math;44
-frename-registers;43
-fsched-dep-count-heuristic;44
-fsched-spec-insn-heuristic;47
-fsched-spec-load;53
-fsched-spec-load-dangerous;48
-fsel-sched-pipelining-outer-loops;34
-fshrink-wrap-separate;45
-fsplit-ivs-in-unroller;50
-fssa-backprop;41
-fstore-merging;45
-fthread-jumps;51
-ftracer;60
-ftree-ch;48
-ftree-coalesce-vars;43
-ftree-dominator-opts;44
-ftree-loop-distribute-patterns;41
-ftree-loop-if-convert;48
-ftree-switch-conversion;46
-ftree-vectorize;47
-ftree-vrp;47
-funit-at-a-time;35
-funsafe-math-optimizations;43
-funswitch-loops;50
-fuse-linker-plugin;46
-fvect-cost-model;45
-fweb;47
-fwpa;29
-falign-functions=50675;1
-falign-labels=11618;1
-falign-loops=48786;1
-fsched-stalled-insns-dep=36126;1
-ffp-contract=on;14
-fcse-skip-blocks;44
-fearly-inlining;46
-ffat-lto-objects;41
-finline-functions;52
-fipa-reference;48
-fipa-reference-addressable;43
-fmerge-all-constants;48
-fmodulo-sched-allow-regmoves;45
-fno-defer-pop;51
-fno-inline;50
-fomit-frame-pointer;47
-fpartial-inlining;44
-fpredictive-commoning;49
-fsched-critical-path-heuristic;38
-fschedule-insns2;51
-fsemantic-interposition;40
-fshrink-wrap;35
-fsplit-paths;50
-fstdarg-opt;43
-ftree-copy-prop;35
-ftree-dse;47
-ftree-tail-merge;37
-funroll-all-loops;38
-falign-functions=2106;3
-falign-loops=56102;4
-finline-limit=46782;3
-fsched-stalled-insns-dep=42639;2
-ftree-parallelize-loops=4;15
-ffp-contract=off;14
-fira-region=mixed;19
-freorder-blocks-algorithm=simple;15
-fcx-fortran-rules;40
-fdelayed-branch;45
-fdevirtualize-at-ltrans;55
-finline-functions-called-once;52
-finline-small-functions;42
-fira-hoist-pressure;34
-fivopts;44
-fkeep-inline-functions;42
-floop-unroll-and-jam;44
-flra-remat;39
-fmerge-constants;39
-foptimize-sibling-calls;33
-freorder-blocks-and-partition;50
-ftree-loop-ivcanon;48
-ftree-partial-pre;29
-fvpt;42
-falign-functions=22310;1
-finline-limit=56277;1
-fsched-stalled-insns-dep=10286;1
-flto-partition=max;10
-freorder-blocks-algorithm=stc;20
-fexpensive-optimizations;37
-flive-range-shrinkage;41
-ftree-builtin-call-dce;48
-ftree-loop-vectorize;47
-fwhole-program;40
-falign-functions=42294;1
-falign-jumps=23853;1
-finline-limit=39561;1
-ftree-parallelize-loops=1;19
-fexcess-precision=fast;26
-fira-algorithm=priority;23
-fdce;35
-floop-nest-optimize;40
-fstrict-aliasing;36
-ftree-dce;50
-ftree-forwprop;36
-ftree-loop-distribution;37
-ftree-sink;38
-falign-functions=48325;1
-falign-jumps=31648;1
-fsched-stalled-insns-dep=32793;1
-fsched-stalled-insns=4088;1
-ffp-contract=fast;9
-fschedule-insns;36
-ftree-loop-im;43
-falign-functions=17696;1
-falign-jumps=20037;1
-finline-limit=25557;1
-fsched-stalled-insns-dep=64750;1
-fexcess-precision=standard;14
-falign-loops=49553;4
-finline-limit=5769;4
-fsched-stalled-insns=17022;3
-falign-functions=14651;1
-falign-loops=30362;1
-finline-limit=18526;1
-fsched-stalled-insns-dep=47105;1
-ftree-parallelize-loops=2;7
-falign-functions=27264;1
-falign-loops=34052;1
