Flag;Cantidad
-fsched-stalled-insns=42677;1
-flto-partition=one;15
-falign-functions=57333;1
-falign-jumps=55013;1
-falign-loops=50403;1
-falign-functions=53473;1
-falign-jumps=53832;1
-falign-labels=56589;1
-fsched-stalled-insns-dep=31204;1
-fira-region=one;19
-falign-functions=27261;1
-falign-loops=20570;1
-fsched-stalled-insns-dep=30304;1
-fsched-stalled-insns=140;1
-falign-labels=560;5
-finline-limit=29752;5
-fsched-stalled-insns-dep=60985;4
-fsched-stalled-insns=15466;6
-falign-labels=36637;1
-fsched-stalled-insns=31765;1
-falign-jumps=28274;1
-fsched-stalled-insns-dep=36874;1
-flto-partition=balanced;11
-falign-jumps=41965;1
-falign-labels=26046;1
-falign-loops=59792;1
-finline-limit=45321;1
-fsched-stalled-insns-dep=32894;1
-fsched-stalled-insns=36811;1
-falign-functions=4224;1
-falign-jumps=58119;1
-falign-labels=35402;1
-falign-functions=3855;1
-falign-labels=12236;1
-finline-limit=51350;1
-fsched-stalled-insns=36339;1
-falign-functions=45640;1
-falign-labels=14202;1
-falign-loops=32224;1
-finline-limit=34556;1
-fsched-stalled-insns-dep=60887;1
-fsched-stalled-insns=50784;1
-falign-functions=31088;1
-falign-jumps=48573;1
-falign-labels=54453;1
-falign-loops=25200;1
-finline-limit=20561;1
-fsched-stalled-insns-dep=34805;1
-falign-labels=2145;1
-finline-limit=47683;1
-fsched-stalled-insns-dep=38397;1
-falign-jumps=53210;1
-falign-labels=44780;1
-finline-limit=53253;1
-fsched-stalled-insns-dep=20216;1
-fsched-stalled-insns=38119;1
-falign-functions=61808;1
-falign-jumps=44680;1
-falign-labels=5700;1
-falign-loops=60783;1
-finline-limit=62502;1
-fsched-stalled-insns-dep=61437;1
-fsched-stalled-insns=2243;1
-falign-functions=25183;1
-falign-jumps=47873;1
-falign-loops=64917;1
-fsched-stalled-insns-dep=14967;1
-falign-jumps=20430;1
-falign-loops=50742;1
-fsched-stalled-insns-dep=8971;1
-fsched-stalled-insns=43559;1
-falign-jumps=60092;1
-finline-limit=7892;1
-fsched-stalled-insns-dep=64336;1
-falign-functions=55517;1
-falign-labels=19708;1
-falign-loops=17099;1
-falign-jumps=42856;4
-finline-limit=49292;2
-fsched-stalled-insns-dep=17556;2
-falign-functions=37854;1
-falign-labels=5293;1
-falign-loops=4494;1
-finline-limit=61284;1
-fsched-stalled-insns-dep=62047;1
-fsched-stalled-insns=19643;1
-falign-functions=63501;1
-falign-labels=24720;1
-falign-loops=24705;1
-fsched-stalled-insns-dep=6297;1
-falign-jumps=15969;1
-falign-labels=30736;1
-falign-loops=17204;1
-finline-limit=30680;1
-falign-labels=49798;1
-fsched-stalled-insns=37455;1
-falign-jumps=64648;1
-falign-labels=52595;1
-fsched-stalled-insns-dep=3398;1
-fsched-stalled-insns=15423;1
-falign-functions=42224;1
-falign-loops=48027;1
-finline-limit=11071;1
-fsched-stalled-insns=2687;1
-falign-functions=60338;1
-falign-loops=7302;1
-fsched-stalled-insns=26434;1
-falign-functions=50816;1
-finline-limit=23815;1
-falign-functions=33402;1
-falign-jumps=17397;1
-finline-limit=48278;1
-falign-jumps=32045;1
-falign-labels=59079;1
-finline-limit=15223;1
-fsched-stalled-insns-dep=34069;1
-falign-functions=26523;1
-falign-loops=33152;1
-falign-functions=11830;1
-falign-labels=14822;1
-falign-functions=50911;1
-finline-limit=57826;1
-falign-jumps=49291;1
-falign-loops=23928;1
-fsched-stalled-insns=25975;1
-falign-functions=21752;1
-falign-loops=33850;1
-finline-limit=39321;1
-fsched-stalled-insns=62991;1
-falign-functions=59607;1
-falign-jumps=6881;1
-falign-loops=26246;1
-finline-limit=42846;1
-fsched-stalled-insns-dep=7404;1
-falign-labels=5985;2
-falign-loops=55530;2
-finline-limit=39343;2
-fsched-stalled-insns=1854;3
-falign-jumps=8687;1
-fsched-stalled-insns=13895;1
-falign-functions=38320;1
-falign-jumps=29369;1
-fsched-stalled-insns=15133;1
-finline-limit=7369;4
-fsched-stalled-insns-dep=14733;4
-falign-functions=47706;1
-falign-jumps=47262;1
-fsched-stalled-insns=58581;1
-falign-functions=35807;1
-falign-jumps=8258;1
-falign-labels=52518;1
-falign-loops=60921;1
-finline-limit=14013;1
-fsched-stalled-insns-dep=1367;1
-fsched-stalled-insns=57844;1
-falign-functions=20029;1
-falign-jumps=47666;1
-falign-labels=23485;1
-finline-limit=48640;1
-fsched-stalled-insns-dep=58137;1
-fsched-stalled-insns=60218;1
-falign-labels=23028;1
-finline-limit=12509;1
-fsched-stalled-insns-dep=28446;1
-finline-limit=47091;4
-falign-labels=37161;1
-falign-loops=16708;1
-finline-limit=61361;1
-fsched-stalled-insns=17360;1
-finline-limit=22570;2
-falign-functions=10754;1
-falign-jumps=34121;1
-falign-labels=59603;1
-finline-limit=24861;1
-falign-labels=7036;1
-falign-loops=29401;1
-finline-limit=30628;1
-falign-jumps=24011;1
-falign-labels=26535;1
-finline-limit=7314;1
-fsched-stalled-insns-dep=26650;1
-falign-labels=7400;1
-finline-limit=8589;1
-fsched-stalled-insns-dep=15266;1
-falign-labels=5933;1
-finline-limit=15995;1
-fsched-stalled-insns-dep=3552;1
-fsched-stalled-insns=37392;1
-finline-limit=24641;1
-fsched-stalled-insns=62652;1
-falign-functions=58926;1
-falign-labels=24;1
-finline-limit=45439;1
-fsched-stalled-insns-dep=58306;1
-fsched-stalled-insns=43498;1
-falign-functions=34198;1
-falign-jumps=45006;1
-falign-labels=29189;1
-falign-loops=30571;1
-finline-limit=13197;1
-fsched-stalled-insns=58250;1
-falign-jumps=184;1
-falign-loops=2391;1
-finline-limit=264;1
-fsched-stalled-insns=36710;1
-falign-jumps=35734;1
-falign-labels=32559;1
-falign-loops=3639;1
-finline-limit=9246;1
-fsched-stalled-insns-dep=41262;1
-fsched-stalled-insns=26089;1
-falign-jumps=44666;1
-finline-limit=55257;1
-fsched-stalled-insns-dep=56760;1
-falign-labels=44032;1
-fsched-stalled-insns-dep=42155;1
-falign-functions=20635;1
-falign-labels=4004;1
-falign-loops=49868;1
-falign-jumps=27914;1
-falign-labels=6400;1
-falign-loops=5904;1
-finline-limit=56187;1
-fsched-stalled-insns=25085;1
-falign-functions=18447;1
-falign-jumps=24970;1
-falign-labels=50459;1
-fsched-stalled-insns=37440;1
-falign-labels=61343;1
-falign-loops=25128;1
