ID;Generacion;Resultado
288;0;-1.0
289;0;1063152.0
290;0;-1.0
291;0;308744.0
292;0;-1.0
293;0;1588504.0
294;0;32024.0
295;0;146728.0
296;0;89368.0
297;0;-1.0
298;0;-1.0
299;0;341512.0
300;0;-1.0
301;0;40216.0
302;0;26120.0
303;0;-1.0
304;0;-1.0
305;0;-1.0
306;0;-1.0
307;0;-1.0
308;0;216112.0
309;0;30224.0
310;0;27712.0
311;0;277552.0
312;0;276200.0
313;0;-1.0
314;0;26128.0
315;0;-1.0
316;0;-1.0
317;0;-1.0
318;0;-1.0
319;0;-1.0
320;0;1195056.0
321;0;-1.0
322;0;30440.0
323;0;1128184.0
324;0;1129768.0
325;0;-1.0
326;0;-1.0
327;0;276216.0
302;1;26120.0
314;1;26128.0
310;1;27712.0
309;1;30224.0
322;1;30440.0
294;1;32024.0
301;1;40216.0
296;1;89368.0
328;1;1587440.0
329;1;89152.0
330;1;26128.0
331;1;38632.0
332;1;30456.0
333;1;210664.0
334;1;31808.0
335;1;26128.0
336;1;154672.0
337;1;27696.0
338;1;87560.0
339;1;87800.0
340;1;64560.0
341;1;26864.0
342;1;31808.0
343;1;26360.0
344;1;31792.0
345;1;26360.0
346;1;38648.0
347;1;30216.0
348;1;27928.0
349;1;27696.0
350;1;26120.0
351;1;603656.0
352;1;31792.0
353;1;26344.0
354;1;27944.0
355;1;39984.0
356;1;26128.0
357;1;26120.0
358;1;26120.0
359;1;27928.0
