ID;Generacion;Resultado
0;0;0.7479294847513847
1;0;1.0
2;0;1.0
3;0;0.02736458471964865
4;0;1.0
5;0;1.0
6;0;1.0
7;0;1.0
8;0;1.0
9;0;0.1284180137385981
10;0;1.0
11;0;0.4964936886395512
12;0;1.0
13;0;0.6640646594527083
14;0;0.0010083844350487813
15;0;1.0
16;0;1.0
17;0;0.37053777090734125
18;0;0.37053777090734125
19;0;1.0
20;0;0.0010186218404807485
21;0;1.0
22;0;0.0
23;0;1.0
24;0;1.0
25;0;0.0014844237876352618
26;0;0.0011670642192442746
27;0;0.2019430595509874
28;0;1.0
29;0;0.32884081858293834
30;0;1.0
31;0;1.0
32;0;1.0
33;0;1.0
34;0;1.0
35;0;1.0
36;0;1.0
37;0;0.0010083844350487813
38;0;0.0010186218404807485
39;0;0.00015356108147950983
22;1;0.0
39;1;0.00015356108147950983
14;1;0.0010083844350487813
37;1;0.0010083844350487813
20;1;0.0010186218404807485
38;1;0.0010186218404807485
26;1;0.0011670642192442746
25;1;0.0014844237876352618
40;1;0.11794002927897954
41;1;1.0
42;1;0.0004760393525864805
43;1;0.0010083844350487813
44;1;0.0011670642192442746
45;1;0.0036291602256324157
46;1;0.24488897533809031
47;1;0.0
48;1;0.0010186218404807485
49;1;0.0012438447599840297
50;1;0.0012438447599840297
51;1;0.0
52;1;0.003787840009827909
53;1;0.0010186218404807485
54;1;0.0010083844350487813
55;1;0.0010083844350487813
56;1;0.6632917353425948
57;1;0.00014332367604754251
58;1;0.0010186218404807485
59;1;0.0012284886518360786
60;1;0.0429510344898189
61;1;0.0010083844350487813
62;1;0.0012438447599840297
63;1;1.0
64;1;0.0010186218404807485
65;1;0.0011568268138123074
66;1;0.0010186218404807485
67;1;0.00015356108147950983
68;1;1.0
69;1;0.0011670642192442746
70;1;0.0010186218404807485
71;1;0.0010083844350487813
