ID;Generacion;Resultado
72;0;-1.0
73;0;153096.0
74;0;-1.0
75;0;-1.0
76;0;153336.0
77;0;154920.0
78;0;-1.0
79;0;-1.0
80;0;-1.0
81;0;-1.0
82;0;-1.0
83;0;-1.0
84;0;-1.0
85;0;-1.0
86;0;-1.0
87;0;64792.0
88;0;-1.0
89;0;154688.0
90;0;28440.0
91;0;146496.0
92;0;-1.0
93;0;27944.0
94;0;1586920.0
95;0;-1.0
96;0;-1.0
97;0;802088.0
98;0;-1.0
99;0;153104.0
100;0;27712.0
101;0;802088.0
102;0;113712.0
103;0;-1.0
104;0;153096.0
105;0;-1.0
106;0;27928.0
107;0;-1.0
108;0;89384.0
109;0;-1.0
110;0;154688.0
111;0;-1.0
100;1;27712.0
106;1;27928.0
93;1;27944.0
90;1;28440.0
87;1;64792.0
108;1;89384.0
102;1;113712.0
91;1;146496.0
112;1;-1.0
113;1;538128.0
114;1;27928.0
115;1;28440.0
116;1;113728.0
117;1;60464.0
118;1;154688.0
119;1;144912.0
120;1;89368.0
121;1;154904.0
122;1;26360.0
123;1;26344.0
124;1;1195072.0
125;1;112360.0
126;1;27696.0
127;1;27928.0
128;1;146728.0
129;1;60464.0
130;1;112144.0
131;1;-1.0
132;1;27696.0
133;1;540440.0
134;1;64792.0
135;1;802088.0
136;1;27712.0
137;1;540440.0
138;1;-1.0
139;1;26128.0
140;1;26360.0
141;1;539928.0
142;1;-1.0
143;1;27944.0
