ID;Generacion;Resultado
216;0;1193480.0
217;0;38416.0
218;0;-1.0
219;0;-1.0
220;0;-1.0
221;0;-1.0
222;0;-1.0
223;0;212264.0
224;0;-1.0
225;0;48424.0
226;0;1589016.0
227;0;-1.0
228;0;-1.0
229;0;539712.0
230;0;31808.0
231;0;277784.0
232;0;1588504.0
233;0;-1.0
234;0;27928.0
235;0;-1.0
236;0;-1.0
237;0;-1.0
238;0;-1.0
239;0;1588504.0
240;0;27712.0
241;0;-1.0
242;0;28064.0
243;0;-1.0
244;0;-1.0
245;0;605232.0
246;0;1064000.0
247;0;210664.0
248;0;26864.0
249;0;1193480.0
250;0;-1.0
251;0;1260824.0
252;0;26128.0
253;0;32040.0
254;0;32040.0
255;0;-1.0
252;1;26128.0
248;1;26864.0
240;1;27712.0
234;1;27928.0
242;1;28064.0
230;1;31808.0
253;1;32040.0
254;1;32040.0
256;1;153336.0
257;1;30456.0
258;1;27928.0
259;1;27712.0
260;1;26344.0
261;1;27928.0
262;1;26360.0
263;1;186104.0
264;1;26128.0
265;1;26360.0
266;1;91896.0
267;1;27944.0
268;1;30456.0
269;1;27944.0
270;1;27712.0
271;1;26344.0
272;1;27944.0
273;1;28440.0
274;1;-1.0
275;1;28064.0
276;1;27944.0
277;1;32024.0
278;1;539928.0
279;1;27712.0
280;1;60712.0
281;1;27712.0
282;1;27944.0
283;1;26344.0
284;1;27944.0
285;1;26360.0
286;1;27928.0
287;1;27696.0
