simple,-fsplit-wide-types,,,,,
simple,-fssa-backprop,,,,,
simple,-fssa-phiopt,,,,,
simple,-fstdarg-opt,,,,,
simple,-fstore-merging,,,,,
simple,-fstrict-aliasing,,,,,
simple,-fthread-jumps,,,,,
simple,-ftracer,,,,,
simple,-ftree-bit-ccp,,,,,
simple,-ftree-builtin-call-dce,,,,,
simple,-ftree-ccp,,,,,
simple,-ftree-ch,,,,,
simple,-ftree-coalesce-vars,,,,,
simple,-ftree-copy-prop,,,,,
simple,-ftree-dce,,,,,
simple,-ftree-dominator-opts,,,,,
simple,-ftree-dse,,,,,
simple,-ftree-forwprop,,,,,
simple,-ftree-fre,,,,,
simple,-ftree-loop-distribute-patterns,,,,,
simple,-ftree-loop-distribution,,,,,
simple,-ftree-loop-if-convert,,,,,
simple,-ftree-loop-im,,,,,
simple,-ftree-loop-ivcanon,,,,,
simple,-ftree-loop-linear,,,,,
simple,-ftree-loop-optimize,,,,,
simple,-ftree-loop-vectorize,,,,,
simple,-ftree-partial-pre,,,,,
simple,-ftree-phiprop,,,,,
simple,-ftree-pre,,,,,
simple,-ftree-pta,,,,,
simple,-ftree-reassoc,,,,,
simple,-ftree-scev-cprop,,,,,
simple,-ftree-sink,,,,,
simple,-ftree-slsr,,,,,
simple,-ftree-sra,,,,,
simple,-ftree-switch-conversion,,,,,
simple,-ftree-tail-merge,,,,,
simple,-ftree-ter,,,,,
simple,-ftree-vectorize,,,,,
simple,-ftree-vrp,,,,,
simple,-funconstrained-commons,,,,,
simple,-funit-at-a-time,,,,,
simple,-funroll-all-loops,,,,,
simple,-funroll-loops,,,,,
simple,-funsafe-math-optimizations,,,,,
simple,-funswitch-loops,,,,,
simple,-fuse-linker-plugin,,,,,
simple,-fvariable-expansion-in-unroller,,,,,
simple,-fvect-cost-model,,,,,
simple,-fvpt,,,,,
simple,-fweb,,,,,
simple,-fwhole-program,,,,,
simple,-fwpa,,,,,
rango,-falign-functions=,0,65536,,,
rango,-falign-jumps=,0,65536,,,
rango,-falign-labels=,0,65536,,,
rango,-falign-loops=,0,65536,,,
rango,-finline-limit=,0,65536,,,
rango,-fsched-stalled-insns-dep=,0,65536,,,
rango,-fsched-stalled-insns=,0,65536,,,
rango,-ftree-parallelize-loops=,1,4,,,
intervalo,-fexcess-precision=,fast,standard,,,
intervalo,-ffp-contract=,fast,off,on,,
intervalo,-fira-algorithm=,priority,CB,,,
intervalo,-fira-region=,all,mixed,one,,
intervalo,-flive-patching=,inline-clone,inline-only-static,,,
intervalo,-flto-partition=,1to1,max,balanced,one,none
intervalo,-freorder-blocks-algorithm=,simple,stc,,,
