Flag;Cantidad
-fsched-stalled-insns-dep=60416;1
-fexcess-precision=standard;21
-ffp-contract=on;21
-falign-functions=32436;1
-falign-jumps=10238;1
-falign-loops=26739;1
-falign-functions=15386;1
-falign-jumps=6521;1
-falign-labels=12466;1
-finline-limit=12232;1
-fsched-stalled-insns-dep=61103;1
-fsched-stalled-insns=46012;1
-falign-labels=44410;1
-falign-loops=22443;1
-falign-functions=61772;1
-finline-limit=56712;1
-fsched-stalled-insns-dep=60881;1
-fsched-stalled-insns=28627;1
-falign-loops=10422;4
-finline-limit=47742;10
-fsched-stalled-insns=56691;7
-fira-algorithm=CB;45
-falign-jumps=63196;7
-fsched-stalled-insns-dep=7595;9
-ffp-contract=fast;28
-falign-functions=20403;1
-falign-labels=22056;1
-finline-limit=54273;1
-fsched-stalled-insns-dep=23410;1
-fsched-stalled-insns=43228;1
-falign-functions=62099;1
-falign-jumps=21387;1
-falign-labels=8761;1
-falign-jumps=8248;1
-falign-labels=54442;1
-falign-loops=17913;1
-finline-limit=42125;1
-fsched-stalled-insns=63157;1
-falign-jumps=13274;4
-finline-limit=39138;2
-fsched-stalled-insns-dep=32899;3
-fsched-stalled-insns=57553;6
-falign-loops=1280;5
-falign-jumps=38052;1
-falign-labels=6775;1
-falign-loops=54265;1
-fsched-stalled-insns-dep=28726;1
-falign-labels=52787;1
-falign-loops=49372;1
-finline-limit=11320;1
-fsched-stalled-insns-dep=30595;1
-fsched-stalled-insns=30872;1
-flto-partition=balanced;13
-falign-functions=41927;1
-falign-loops=14687;1
-falign-jumps=47598;1
-falign-labels=24950;1
-finline-limit=26464;1
-falign-functions=29303;1
-falign-labels=2447;1
-falign-loops=46596;1
-fsched-stalled-insns-dep=20400;1
-fsched-stalled-insns=55429;1
-falign-jumps=45969;1
-falign-labels=22095;1
-fsched-stalled-insns-dep=10541;1
-fsched-stalled-insns=41590;1
-falign-jumps=47543;1
-fsched-stalled-insns=44914;1
-falign-loops=33683;1
-finline-limit=39356;1
-fsched-stalled-insns-dep=3842;1
-falign-functions=5483;1
-falign-loops=57858;1
-falign-functions=34701;1
-falign-functions=65213;1
-falign-jumps=21986;1
-falign-loops=55252;1
-fsched-stalled-insns-dep=62065;1
-fsched-stalled-insns=1771;1
-falign-labels=38040;1
-falign-loops=53247;1
-finline-limit=34499;1
-fsched-stalled-insns-dep=57096;1
-fsched-stalled-insns=58671;2
-falign-functions=34038;1
-falign-labels=26154;1
-falign-loops=16869;1
-falign-jumps=239;1
-falign-labels=8398;1
-fsched-stalled-insns-dep=61427;1
-falign-functions=35224;1
-falign-jumps=63044;1
-falign-labels=47364;1
-falign-loops=11310;1
-fsched-stalled-insns-dep=1010;1
-finline-limit=3586;1
-falign-functions=28310;1
-falign-loops=4169;1
-fsched-stalled-insns=40468;1
-falign-jumps=20930;1
-finline-limit=54729;1
-falign-functions=8902;1
-falign-jumps=29393;1
-falign-labels=8926;1
-falign-loops=432;1
-finline-limit=41370;1
-fsched-stalled-insns-dep=6973;1
-falign-functions=48975;1
-falign-labels=52005;1
-finline-limit=35745;1
-fsched-stalled-insns-dep=33910;1
-fsched-stalled-insns=1677;1
-falign-loops=60732;4
-fsched-stalled-insns-dep=58125;7
-falign-functions=23444;1
-falign-loops=60144;1
-falign-functions=40910;1
-falign-labels=29306;1
-falign-loops=59660;1
-finline-limit=27269;1
-fsched-stalled-insns=54865;1
-falign-functions=44717;1
-falign-loops=9792;1
-falign-functions=7162;1
-falign-jumps=53235;1
-finline-limit=30053;1
-falign-jumps=42199;1
-finline-limit=7499;1
-fsched-stalled-insns-dep=44717;1
-fsched-stalled-insns=18144;1
-falign-jumps=36153;1
-finline-limit=42343;1
-falign-jumps=2190;1
-falign-labels=25459;1
-falign-loops=47223;1
-finline-limit=33445;1
-falign-jumps=54093;1
-falign-labels=38137;1
-falign-loops=3391;1
-fsched-stalled-insns-dep=61465;4
-fsched-stalled-insns=63773;6
-falign-functions=2885;1
-falign-jumps=61389;1
-falign-loops=63624;1
-fsched-stalled-insns-dep=64769;1
-fsched-stalled-insns=4564;1
-falign-functions=48103;1
-falign-jumps=54655;1
-falign-labels=44582;1
-finline-limit=1220;1
-fsched-stalled-insns=8124;1
-falign-functions=54771;1
-falign-loops=55630;1
-fsched-stalled-insns-dep=8715;1
-fsched-stalled-insns=26169;1
-falign-labels=25733;1
-falign-loops=29362;1
-finline-limit=6675;1
-fsched-stalled-insns-dep=8658;1
-fsched-stalled-insns=15115;1
-falign-jumps=23282;1
-falign-labels=48659;1
-falign-loops=30179;1
-fsched-stalled-insns-dep=9569;1
-fsched-stalled-insns=11259;1
-falign-labels=3949;1
-falign-loops=10839;1
-fsched-stalled-insns-dep=38373;1
-fsched-stalled-insns=46501;1
-falign-labels=10341;3
-finline-limit=59921;5
-fsched-stalled-insns-dep=13237;6
-fsched-stalled-insns=4969;6
-falign-jumps=27042;1
-falign-loops=61464;1
-finline-limit=16678;1
-fsched-stalled-insns-dep=63553;1
-falign-functions=36316;1
-falign-jumps=5474;1
-falign-labels=56384;1
-finline-limit=49515;1
-fsched-stalled-insns-dep=5725;1
-fsched-stalled-insns=21800;1
-falign-jumps=44005;1
-falign-labels=11509;1
-falign-loops=17154;1
-finline-limit=52580;1
-fsched-stalled-insns=60102;1
-falign-functions=30789;1
-falign-jumps=6339;1
-finline-limit=28510;1
-fsched-stalled-insns-dep=63825;1
-fsched-stalled-insns=35763;1
-falign-labels=8676;1
-falign-loops=16263;1
-fsched-stalled-insns-dep=29130;1
-fsched-stalled-insns=17133;1
-falign-labels=9700;1
-falign-loops=11051;1
-finline-limit=822;1
-fsched-stalled-insns=54396;1
-finline-limit=20298;1
-falign-labels=17491;1
-falign-loops=9538;1
-fsched-stalled-insns-dep=5331;1
-falign-jumps=57789;1
-falign-labels=45329;1
-falign-functions=21994;1
-falign-jumps=18853;1
-falign-labels=4356;1
-falign-loops=22661;1
-fsched-stalled-insns-dep=23794;1
-fsched-stalled-insns=2737;1
-falign-functions=10799;1
-falign-jumps=48506;1
-falign-labels=7162;1
-falign-loops=38628;1
-finline-limit=57589;1
-fsched-stalled-insns-dep=11727;1
-fsched-stalled-insns=59834;1
-fsched-stalled-insns-dep=7017;1
-fsched-stalled-insns=20140;1
-falign-functions=48967;1
-falign-labels=39381;1
-falign-functions=23692;1
-falign-jumps=40673;1
-fsched-stalled-insns=46298;1
-fsched-stalled-insns-dep=4014;5
-falign-jumps=63065;1
-falign-labels=30558;1
-falign-jumps=47838;1
-falign-labels=7861;1
-falign-loops=64687;1
-finline-limit=15943;1
-fsched-stalled-insns-dep=53016;1
-falign-labels=9124;1
-finline-limit=3817;1
-fsched-stalled-insns-dep=11069;1
-fsched-stalled-insns=46184;1
-falign-functions=48574;1
-falign-jumps=37973;1
-finline-limit=49074;1
-falign-loops=13266;1
-finline-limit=18853;1
-fsched-stalled-insns-dep=4166;1
-fsched-stalled-insns=53001;1
-fsched-stalled-insns-dep=16720;1
-falign-functions=40691;1
-falign-jumps=40079;1
-falign-labels=36493;1
-finline-limit=55680;1
-fsched-stalled-insns=15798;1
-falign-labels=20930;1
-falign-loops=50393;1
-finline-limit=22077;1
-fsched-stalled-insns-dep=50290;1
-falign-functions=4068;1
-falign-labels=44356;1
-falign-functions=48053;1
-falign-loops=40489;1
-fsched-stalled-insns-dep=64722;1
-falign-jumps=59757;1
-falign-labels=38169;1
-falign-functions=54566;1
-falign-labels=55937;1
-finline-limit=44333;1
-fsched-stalled-insns-dep=50645;1
-falign-loops=24065;1
-finline-limit=13047;1
-fsched-stalled-insns=46423;1
