ID;Generacion;Resultado
0;0;144904.0
1;0;-1.0
2;0;-1.0
3;0;-1.0
4;0;-1.0
5;0;-1.0
6;0;31792.0
7;0;154904.0
8;0;1195056.0
9;0;-1.0
10;0;310320.0
11;0;-1.0
12;0;-1.0
13;0;26360.0
14;0;26360.0
15;0;-1.0
16;0;-1.0
17;0;1062632.0
18;0;27944.0
19;0;30216.0
20;0;171056.0
21;0;-1.0
22;0;-1.0
23;0;-1.0
24;0;-1.0
25;0;-1.0
26;0;-1.0
27;0;-1.0
28;0;-1.0
29;0;154688.0
30;0;-1.0
31;0;-1.0
32;0;212032.0
33;0;-1.0
34;0;157200.0
35;0;-1.0
36;0;87568.0
37;0;-1.0
38;0;310320.0
39;0;1195072.0
40;0;27928.0
41;0;-1.0
42;0;1588520.0
43;0;-1.0
44;0;212264.0
45;0;-1.0
46;0;-1.0
47;0;-1.0
48;0;-1.0
49;0;27712.0
50;0;118552.0
51;0;1195056.0
52;0;-1.0
53;0;113960.0
54;0;1064704.0
55;0;-1.0
56;0;68656.0
57;0;-1.0
58;0;-1.0
59;0;-1.0
13;1;26360.0
14;1;26360.0
49;1;27712.0
40;1;27928.0
18;1;27944.0
19;1;30216.0
6;1;31792.0
56;1;68656.0
60;1;-1.0
61;1;63208.0
62;1;276200.0
63;1;27928.0
64;1;-1.0
65;1;-1.0
66;1;113960.0
67;1;-1.0
68;1;-1.0
69;1;-1.0
70;1;-1.0
71;1;27696.0
72;1;27696.0
73;1;27944.0
74;1;27712.0
75;1;31792.0
76;1;32024.0
77;1;26120.0
78;1;67304.0
79;1;27696.0
80;1;31792.0
81;1;27696.0
77;2;26120.0
13;2;26360.0
14;2;26360.0
71;2;27696.0
72;2;27696.0
79;2;27696.0
81;2;27696.0
49;2;27712.0
82;2;539696.0
83;2;343088.0
84;2;68672.0
85;2;-1.0
86;2;27696.0
87;2;-1.0
88;2;-1.0
89;2;89152.0
90;2;1064232.0
91;2;1195072.0
92;2;1064232.0
93;2;1588504.0
94;2;27696.0
95;2;26344.0
96;2;26360.0
97;2;27928.0
98;2;27696.0
99;2;30216.0
100;2;27712.0
101;2;26120.0
102;2;27928.0
103;2;27712.0
