ID;Generacion;Resultado
0;0;0.07588467250473703
1;0;1.0
2;0;1.0
3;0;1.0
4;0;1.0
5;0;1.0
6;0;0.003477236646694321
7;0;0.08228606544784145
8;0;0.7481282327034363
9;0;1.0
10;0;0.1817739540123931
11;0;1.0
12;0;1.0
13;0;0.0
14;0;0.0
15;0;1.0
16;0;1.0
17;0;0.6633584267936703
18;0;0.00101398064218774
19;0;0.002468377118861064
20;0;0.0926255953295437
21;0;1.0
22;0;1.0
23;0;1.0
24;0;1.0
25;0;1.0
26;0;1.0
27;0;1.0
28;0;1.0
29;0;0.08214779536027039
30;0;1.0
31;0;1.0
32;0;0.11885594305320837
33;0;1.0
34;0;0.08375582526757823
35;0;1.0
36;0;0.03918164592615353
37;0;1.0
38;0;0.1817739540123931
39;0;0.7481384749321452
40;0;0.001003738413478773
41;0;1.0
42;0;1.0
43;0;1.0
44;0;0.11900445536948841
45;0;1.0
46;0;1.0
47;0;1.0
48;0;1.0
49;0;0.0008654683259077175
50;0;0.05901572182106826
51;0;0.7481282327034363
52;0;1.0
53;0;0.05607620218159472
54;0;0.6646847954114815
55;0;1.0
56;0;0.02707533159215445
57;0;1.0
58;0;1.0
59;0;1.0
13;1;0.00015360983102918587
14;1;0.00015360983102918587
49;1;0.0010189452124935996
40;1;0.0011571940604198669
18;1;0.0011674347158218126
19;1;0.0026216077828981055
6;1;0.0036303123399897596
56;1;0.027224782386072708
60;1;1.0
61;1;0.02373783922171019
62;1;0.16006144393241167
63;1;0.0011571940604198669
64;1;1.0
65;1;1.0
66;1;0.05622119815668203
67;1;1.0
68;1;1.0
69;1;1.0
70;1;1.0
71;1;0.0010087045570916539
72;1;0.0010087045570916539
73;1;0.0011674347158218126
74;1;0.0010189452124935996
75;1;0.0036303123399897596
76;1;0.0037788018433179723
77;1;0.0
78;1;0.026359447004608294
79;1;0.0010087045570916539
80;1;0.0036303123399897596
81;1;0.0010087045570916539
77;2;0.0
13;2;0.00015360983102918587
14;2;0.00015360983102918587
71;2;0.0010087045570916539
72;2;0.0010087045570916539
79;2;0.0010087045570916539
81;2;0.0010087045570916539
49;2;0.0010189452124935996
82;2;0.32870967741935486
83;2;0.20287250384024577
84;2;0.027235023041474654
85;2;1.0
86;2;0.0010087045570916539
87;2;1.0
88;2;1.0
89;2;0.04034306195596518
90;2;0.6644342037890425
91;2;0.7481771633384536
92;2;0.6644342037890425
93;2;0.9999897593445981
94;2;0.0010087045570916539
95;2;0.00014336917562724014
96;2;0.00015360983102918587
97;2;0.0011571940604198669
98;2;0.0010087045570916539
99;2;0.0026216077828981055
100;2;0.0010189452124935996
101;2;0.0
102;2;0.0011571940604198669
103;2;0.0010189452124935996
