Gen	Ram	Cpu	Peso	Robustez	Tiempo	
0	0.574219	1.0	18840.0	0.77	0.008	
1	0.578125	1.0	17256.0	0.6	0.01	
2	0.574219	1.0	17256.0	0.63	0.009	
3	0.578125	1.0	17256.0	0.6799999999999999	0.008	
4	0.574219	1.0	17256.0	0.64	0.009	
5	0.578125	1.0	17256.0	0.6599999999999999	0.007	
6	0.578125	1.0	17256.0	0.61	0.01	
7	0.578125	1.0	17256.0	0.7	0.011	
8	0.578125	1.0	17256.0	0.6599999999999999	0.01	
9	0.574219	1.0	17256.0	0.6799999999999999	0.009	
10	0.574219	1.0	17256.0	0.72	0.009	
11	0.574219	1.0	17256.0	0.62	0.01	
12	0.578125	1.0	17256.0	0.7	0.008	
13	0.574219	1.0	17256.0	0.8200000000000001	0.012	
14	0.578125	1.0	17256.0	0.6799999999999999	0.011	
15	0.574219	1.0	17256.0	0.72	0.013	
16	0.574219	1.0	17256.0	0.61	0.012	
17	0.574219	1.0	17256.0	0.71	0.012	
18	0.578125	1.0	18840.0	0.8200000000000001	0.01	
19	0.574219	1.0	17256.0	0.5900000000000001	0.011	
20	0.578125	1.0	17256.0	0.73	0.011	
21	0.574219	1.0	17256.0	0.6799999999999999	0.018	
22	0.574219	1.0	17256.0	0.71	0.01	
23	0.570312	1.0	17256.0	0.83	0.009	
24	0.578125	1.0	17256.0	0.73	0.011	
25	0.574219	1.0	17256.0	0.76	0.013	
26	0.574219	1.0	17256.0	0.83	0.012	
27	0.574219	1.0	17256.0	0.8	0.012	
28	0.578125	1.0	17256.0	0.72	0.012	
29	0.578125	1.0	17256.0	0.65	0.011	
30	0.578125	1.0	17256.0	0.65	0.011	
31	0.578125	1.0	17256.0	0.63	0.01	
32	0.574219	1.0	17256.0	0.74	0.009	
33	0.574219	1.0	17256.0	0.72	0.013	
34	0.578125	1.0	17256.0	0.74	0.012	
35	0.578125	1.0	17256.0	0.6	0.01	
36	0.574219	1.0	17256.0	0.75	0.013	
37	0.578125	1.0	17256.0	0.61	0.014	
38	0.578125	1.0	17256.0	0.6799999999999999	0.015	
39	0.574219	1.0	17256.0	0.88	0.013	
40	0.574219	1.0	17256.0	0.75	0.012	
41	0.578125	1.0	17256.0	0.71	0.012	
42	0.578125	1.0	17256.0	0.75	0.012	
43	0.578125	1.0	17256.0	0.56	0.011	
44	0.574219	1.0	17256.0	0.83	0.013	
45	0.578125	1.0	17256.0	0.69	0.012	
46	0.574219	1.0	17256.0	0.86	0.013	
47	0.578125	1.0	17256.0	0.73	0.012	
48	0.574219	1.0	17256.0	0.83	0.01	
49	0.574219	1.0	17256.0	0.69	0.01	
50	0.574219	1.0	17256.0	0.77	0.011	
51	0.574219	1.0	17256.0	0.69	0.011	
52	0.578125	1.0	17256.0	0.75	0.012	
53	0.574219	1.0	17256.0	0.63	0.009	
54	0.570312	1.0	17256.0	0.73	0.008	
55	0.578125	1.0	17256.0	0.72	0.013	
56	0.578125	1.0	17256.0	0.6	0.012	
57	0.578125	1.0	17256.0	0.6599999999999999	0.012	
58	0.574219	1.0	17256.0	0.72	0.013	
59	0.574219	1.0	17256.0	0.56	0.012	
60	0.574219	1.0	17256.0	0.77	0.009	
61	0.578125	1.0	17256.0	0.5800000000000001	0.011	
62	0.570312	1.0	17256.0	0.69	0.009	
63	0.574219	1.0	17256.0	0.65	0.019	
64	0.578125	1.0	17256.0	0.62	0.008	
65	0.578125	1.0	17256.0	0.64	0.011	
66	0.578125	1.0	17256.0	0.7	0.01	
67	0.574219	1.0	17256.0	0.78	0.011	
68	0.574219	1.0	17256.0	0.6	0.009	
69	0.578125	1.0	17256.0	0.69	0.011	
70	0.574219	1.0	17256.0	0.65	0.01	
71	0.574219	1.0	17256.0	0.6599999999999999	0.012	
72	0.578125	1.0	17256.0	0.71	0.012	
73	0.574219	1.0	17256.0	0.71	0.011	
74	0.578125	1.0	17256.0	0.64	0.011	
75	0.578125	1.0	17256.0	0.73	0.008	
76	0.574219	1.0	17256.0	0.63	0.011	
77	0.578125	1.0	17256.0	0.63	0.012	
78	0.582031	1.0	17256.0	0.61	0.011	
79	0.578125	1.0	17256.0	0.72	0.011	
80	0.582031	1.0	17256.0	0.77	0.012	
81	0.582031	1.0	17256.0	0.69	0.011	
82	0.582031	1.0	17256.0	0.73	0.011	
83	0.582031	1.0	17256.0	0.7	0.012	
84	0.582031	1.0	17256.0	0.6599999999999999	0.012	
85	0.582031	1.0	17256.0	0.7	0.011	
86	0.582031	1.0	17256.0	0.79	0.01	
87	0.582031	1.0	17256.0	0.69	0.012	
88	0.578125	1.0	17256.0	0.5700000000000001	0.01	
89	0.578125	1.0	17256.0	0.75	0.011	
90	0.578125	1.0	17256.0	0.56	0.011	
91	0.582031	1.0	17256.0	0.61	0.009	
92	0.582031	1.0	17256.0	0.7	0.01	
93	0.582031	1.0	17256.0	0.8	0.012	
94	0.582031	1.0	17256.0	0.74	0.011	
95	0.578125	1.0	17256.0	0.9	0.012	
96	0.578125	1.0	17256.0	0.83	0.011	
97	0.582031	1.0	17256.0	0.72	0.019	
98	0.582031	1.0	17256.0	0.6	0.011	
99	0.582031	1.0	17256.0	0.72	0.009	
